,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,new_deaths_log,new_cases_log
354,9834513.0,24759.0,44267.570999999996,239245.0,713.0,1101.5710000000001,46267.126,116.48,208.26,1125.5439999999999,3.3539999999999996,5.182,1.02,69.91,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.8530895298518657,4.393733099829008
355,9866710.0,32197.0,48867.143,239773.0,528.0,1177.0,46418.599,151.47299999999998,229.899,1128.028,2.484,5.537000000000001,1.03,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.722633922533812,4.507815407592017
356,9921981.0,55271.0,46059.429000000004,240940.0,1167.0,1060.0,46678.625,260.026,216.69,1133.518,5.49,4.987,1.03,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.0670708560453703,4.742497322199888
357,9978747.0,56766.0,45654.28599999999,242090.0,1150.0,1034.286,46945.685,267.059,214.78400000000002,1138.9289999999999,5.41,4.8660000000000005,1.03,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.060697840353612,4.754088292866754
358,10030626.0,51879.0,45245.28599999999,243457.0,1367.0,1036.5710000000001,47189.753,244.06799999999998,212.859,1145.36,6.431,4.877,1.04,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1357685145678222,4.7149915961964
359,10084208.0,53582.0,45536.143,244737.0,1280.0,1035.4289999999999,47441.833,252.08,214.22799999999998,1151.382,6.022,4.871,1.05,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.1072099696478683,4.729018920036526
360,10139148.0,54940.0,47056.28599999999,245977.0,1240.0,1063.5710000000001,47700.302,258.469,221.37900000000002,1157.215,5.834,5.004,1.06,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.093421685162235,4.739888655084543
361,10168174.0,29026.0,47665.857,246504.0,527.0,1037.0,47836.857,136.555,224.247,1159.695,2.479,4.879,1.06,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.7218106152125467,4.462787190925709
362,10195160.0,26986.0,46921.429000000004,247143.0,639.0,1052.857,47963.814000000006,126.95700000000001,220.745,1162.701,3.0060000000000002,4.953,1.07,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,2.8055008581584002,4.431138516024918
363,10257875.0,62715.0,47984.857,248529.0,1386.0,1084.143,48258.861,295.047,225.748,1169.221,6.521,5.1,1.08,73.61,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,2.2,75.88,0.765,3.141763230275788,4.797371426606096
